S_No_,Long,Lat,USIN,State,District,Block_Mand,Village,CCE_Date,Geo_Coordi,Target_Cro,CCE_Plot_S,QC_Status,Wet_Weight,Dry_Weight,Yield_kg_h,CCCI_Jaya_Shankar_250,CWSI_Jaya_Shankar_250,EVI_225_TS_Jaya,EVI_257_TS_Jaya,Jaya_Shankar_max_GS_250,Jaya_Shankar_max_VS_250,Jaya_Shankar_min_GS_250,Jaya_Shankar_min_VS_250,Jaya_Shankar_rf_GS_250,Jaya_Shankar_rf_VS_250,JayaShankar_17_Aug_SM_250m,jayashankar_4_oct_sm_250m,NDVI_225_TS_Jaya,NDVI_257_TS_Jaya
2514,79.84216166,18.650956,59725,TELANGANA,Jaya Shankar,Kataram,Vilasagar,25-12-2020,POINT(79.8421616584396 18.6509560007669),Paddy - IR,Square (5x5m),Accepted,10.43,9.387,3755,0.308412403,0.599813282,0.187000006,0.771300018,30.3637619,31.54898262,23.50666809,24.0069561,190.049881,821.2990723,0.221338227,0.323858768,0.355699986,0.879599988
2515,79.84329072,18.69992815,59724,TELANGANA,Jaya Shankar,Kataram,Damerakunta,25-12-2020,POINT(79.8432907245768 18.6999281490013),Paddy - IR,Square (5x5m),Accepted,9.515,8.5635,3425,0.30607754,0.577930152,0.111900002,0.383700013,30.36778259,31.53127098,23.45553017,23.95829582,213.1569977,779.833313,0.221338227,0.332436115,0.187000006,0.545599997
2516,79.89959726,18.81293122,59723,TELANGANA,Jaya Shankar,Mahadevpur,Kaleswaram,25-12-2020,POINT(79.8995972556035 18.8129312157111),Paddy - IR,Square (5x5m),Accepted,9.11,8.199,3280,0.310749739,0.561134875,0.388000011,0.505800009,30.36106873,31.47915649,23.33498001,23.85081291,273.2380066,691.6986084,0.284434885,0.322996914,0.540199995,0.692799985
2517,79.90534735,18.8041671,59722,TELANGANA,Jaya Shankar,Mahadevpur,Kaleswaram,25-12-2020,POINT(79.9053473461792 18.8041671032938),Paddy - IR,Square (5x5m),Accepted,9.32,8.388,3355,0.303323627,0.561001122,0.311199993,0.605000019,30.35623169,31.48322487,23.3528347,23.86865807,268.210968,719.9708862,0.282569379,0.340885729,0.430900007,0.769299984
2518,79.95924833,18.75648379,59721,TELANGANA,Jaya Shankar,Mahadevpur,Kudurpalle,25-12-2020,POINT(79.9592483346814 18.7564837905354),Paddy - IR,Square (5x5m),Accepted,9.505,8.5545,3422,0.315678716,0.559503734,0.141299993,0.285400003,30.33168221,31.50075531,23.43459892,23.94779968,253.8664398,840.6633301,0.292912275,0.322119504,0.242899999,0.520399988
2519,79.96999004,18.74320735,59677,TELANGANA,Jaya Shankar,Mahadevpur,Edapalle,24-12-2020,POINT(79.9699900367215 18.7432073487159),Paddy - IR,Square (5x5m),Accepted,9.475,8.5275,3411,0.317247301,0.512447596,0.314399987,0.528199971,30.3266983,31.50370026,23.44944954,23.96160889,253.1556702,860.6679688,0.286239266,0.344313323,0.4639,0.807900012
2520,79.98606227,18.73791303,59676,TELANGANA,Jaya Shankar,Mahadevpur,Mahadevpur,24-12-2020,POINT(79.9860622672404 18.7379130264953),Paddy - IR,Square (5x5m),Accepted,8.95,8.055,3222,0.312391192,0.599117517,0.079800002,0.53640002,30.31783485,31.50590897,23.46836853,23.9797554,256.39151,893.6013184,0.282569379,0.337177515,0.130999997,0.804499984
2521,80.00954977,18.72490578,59675,TELANGANA,Jaya Shankar,Mahadevpur,Mahadevpur,24-12-2020,POINT(80.0095497699405 18.7249057837536),Paddy - IR,Square (5x5m),Accepted,9.14,8.226,3290,0.317854285,0.727583706,0.168599993,0.234400004,30.30892181,31.50774384,23.48628616,23.99655533,261.0661011,923.7787476,0.286239266,0.323858768,0.341399997,0.514900029
2522,80.00611389,18.69550799,59674,TELANGANA,Jaya Shankar,Mahadevpur,Elkeswaram,24-12-2020,POINT(80.0061138867947 18.6955079945162),Paddy - IR,Square (5x5m),Accepted,8.81,7.929,3172,0.308636367,0.626738548,0.549799979,0.630599976,30.3053112,31.51652718,23.51262093,24.01690483,255.7265015,928.4715576,0.215894818,0.340885729,0.699400008,0.875400007
2523,80.00407677,18.70624956,59673,TELANGANA,Jaya Shankar,Mahadevpur,Elkeswaram,24-12-2020,POINT(80.0040767662781 18.7062495574559),Paddy - IR,Square (5x5m),Accepted,9.195,8.2755,3310,0.319475383,0.63605237,0.323000014,0.453700006,30.30651474,31.5135994,23.5038414,24.0101223,257.5063782,926.9072876,0.26223582,0.35046649,0.503099978,0.75059998
